,Project Number,Contractor
22255,4629-81601-GJ,Harvest Power
22256,4362-68973,"Monolith Solar Associates, LLC"
22257,4354-52223,"Sunrise Solar Solutions, LLC"
22258,4243-44027,Go Solar/Green NY LLC
22259,4116-76345,"Solar Liberty Energy Systems, Inc."
22260,4116-20701,"Solar Liberty Energy Systems, Inc."
22261,4260-40942,"Fourth Coast, Inc"
22262,4633-86942,New York State Solar Farm
22263,4149-49427,"Ecovis, Inc. (formerly Quality Solar)"
22264,4521-52473,Upstate Alternative Energy
22265,4443-88657,CIR Electrical Construction Corp.
22266,4156-94760,Sea Bright Solar
22267,4355-0312-Financing,"SuNation Solar Systems, Inc."
22268,4135-028,"Sundog Solar, Inc."
22269,4158-101,"Alteris RPS, LLC"
22270,4611-34759,"CNY Solar, Inc."
22271,4633-31392,New York State Solar Farm
22272,4643-27355,Tesla Energy Operations Inc.
22273,4594-89387,"Eastern Energy Systems, Inc."
22274,4533-60404,"Apex Solar Power, LLC"
22275,4202-23970,Best Energy Power
22276,4643-32242,Tesla Energy Operations Inc.
22277,4116-38002,"Solar Liberty Energy Systems, Inc."
22278,4323-66216,A-Best Energy Power
22279,4533-58651,"Apex Solar Power, LLC"
22280,4116-23642,"Solar Liberty Energy Systems, Inc."
22281,4629-89584YY-GJ,Harvest Power
22282,4354-86971,"Sunrise Solar Solutions, LLC"
22283,4375-30573,New York Light Energy LLC
22284,4158-103,"Alteris RPS, LLC"
22285,4247-21667,"Alternative Power Solutions of NY, LLC"
22286,4116-30932,"Solar Liberty Energy Systems, Inc."
22287,4643-31456,Tesla Energy Operations Inc.
22288,4604-32618,"Allura Solar (dba for Epergy, LLC)"
22289,4376-35821,"EmPower CES, LLC"
22290,4260-59460,"Fourth Coast, Inc"
22291,4375-20953,New York Light Energy LLC
22292,4564-33811,RGS Energy
22293,4493-50508-GJ,Direct Energy Solar (formerly Astrum)
22294,4643-30023,Tesla Energy Operations Inc.
22295,4170-023,Mercury Solar
22296,4116-47062,"Solar Liberty Energy Systems, Inc."
22297,4116-044,"Solar Liberty Energy Systems, Inc."
22298,4493-41761-GJ,Direct Energy Solar (formerly Astrum)
22299,4493-39592,Direct Energy Solar (formerly Astrum)
22300,4116-35875,"Solar Liberty Energy Systems, Inc."
22301,4354-72084,"Sunrise Solar Solutions, LLC"
22302,4611-23682,"CNY Solar, Inc."
22303,4238-001,"Divine Renewable Energy, LLC"
22304,4635-35273,Renewable Rochester (dba for Viola Homes)
22305,4116-66580,"Solar Liberty Energy Systems, Inc."
22306,4135-059,"Sundog Solar, Inc."
22307,4353-23957,"SunStream USA, LLC"
22308,4116-27976,"Solar Liberty Energy Systems, Inc."
22309,4355-0040-Financing,"SuNation Solar Systems, Inc."
22310,4243-57373,Go Solar/Green NY LLC
22311,4355-84380-GJ,"SuNation Solar Systems, Inc."
22312,4533-86930,"Apex Solar Power, LLC"
22313,4473-47073,Lighthouse Solar (dba for Sun Source Technologies)
22314,4629-61929-GJ,Harvest Power
22315,4548-30685,"Monolith Solar Associates, LLC"
22316,4274-28335,Burke Electrical Contractors Inc. (dba Burke Electric and Solar)
22317,4156-65669,Sea Bright Solar
22318,4555-72766,GreenSpark Solar (dba for Sustainable Energy Developments)
22319,4493-34039,Direct Energy Solar (formerly Astrum)
22320,4376-71703,"EmPower CES, LLC"
22321,4243-99046,Go Solar/Green NY LLC
22322,4355-75570-GJ,"SuNation Solar Systems, Inc."
22323,4473-52636-GJ,Lighthouse Solar (dba for Sun Source Technologies)
22324,4181-006,RGS Energy
22325,4161-006,Northeast Emergency Power Systems (Michael Parks)
22326,4116-111,"Solar Liberty Energy Systems, Inc."
22327,4355-50515,"SuNation Solar Systems, Inc."
22328,4376-53768-GJ,"EmPower CES, LLC"
22329,4533-94658,"Apex Solar Power, LLC"
22330,4376-72769-GJ,"EmPower CES, LLC"
22331,4116-34312,"Solar Liberty Energy Systems, Inc."
22332,4116-23053,"Solar Liberty Energy Systems, Inc."
22333,4362-30448,"Monolith Solar Associates, LLC"
22334,4116-76260,"Solar Liberty Energy Systems, Inc."
22335,4247-71670,"Alternative Power Solutions of NY, LLC"
22336,4643-29975,Tesla Energy Operations Inc.
22337,4354-76491-GJ,"Sunrise Solar Solutions, LLC"
22338,4355-77684-GJ,"SuNation Solar Systems, Inc."
22339,4154-63162,Green Logic LLC
22340,4643-31588,Tesla Energy Operations Inc.
22341,4355-57164-GJ,"SuNation Solar Systems, Inc."
22342,4116-22181,"Solar Liberty Energy Systems, Inc."
22343,4247-100942,"Alternative Power Solutions of NY, LLC"
22344,4533-68324,"Apex Solar Power, LLC"
22345,4473-75516-GJ,Lighthouse Solar (dba for Sun Source Technologies)
22346,4124-051,"O'Connell Electric Co., Inc."
22347,4170-007-1,Mercury Solar
22348,4635-66713,Renewable Rochester (dba for Viola Homes)
22349,4160-52571,"Energy By Choice, Ltd."
22350,4158-048,"Alteris RPS, LLC"
22351,4183-69783,"Ross Solar Group, LLC"
22352,4376-36215,"EmPower CES, LLC"
22353,4116-19844,"Solar Liberty Energy Systems, Inc."
22354,4362-36830,"Monolith Solar Associates, LLC"
22355,4611-32239,"CNY Solar, Inc."
22356,4355-78532-GJ,"SuNation Solar Systems, Inc."
22357,4170-22368,Mercury Solar
22358,4355-67039-GJ,"SuNation Solar Systems, Inc."
22359,4493-28947,Direct Energy Solar (formerly Astrum)
22360,4611-67308,"CNY Solar, Inc."
22361,4502-102026,"You Save Green, Inc"
22362,4533-97102,"Apex Solar Power, LLC"
22363,4376-56744-GJ,"EmPower CES, LLC"
22364,4281-101220,Northern Lights Energy
22365,4609-26729,"OnForce Solar, Inc."
22366,4369-30704,Halco Renewable Energy (dba for Halcyon)
22367,4627-37146,"O'Connell Electric Co., Inc."
22368,4116-33746,"Solar Liberty Energy Systems, Inc."
22369,4355-0330-Financing,"SuNation Solar Systems, Inc."
22370,4627-99418,"O'Connell Electric Co., Inc."
22371,4158-022,"Alteris RPS, LLC"
22372,4116-101512,"Solar Liberty Energy Systems, Inc."
22373,4260-002,"Fourth Coast, Inc"
22374,4635-33896,Renewable Rochester (dba for Viola Homes)
22375,4493-33116,Direct Energy Solar (formerly Astrum)
22376,4533-76617-GJ,"Apex Solar Power, LLC"
22377,4611-41517,"CNY Solar, Inc."
22378,4117-068,1st Light Energy
22379,4594-76388,"Eastern Energy Systems, Inc."
22380,4643-28423,Tesla Energy Operations Inc.
22381,4554-82970,Kirchhoff Green Energy
22382,4355-92798-GJ,"SuNation Solar Systems, Inc."
22383,4376-0165-Financing,"EmPower CES, LLC"
22384,4154-48034,Green Logic LLC
22385,4255-37319,"Enlighten Power Solutions, LLC"
22386,4629-92814-GJ,Harvest Power
22387,4604-87123,"Allura Solar (dba for Epergy, LLC)"
22388,4243-22119,Go Solar/Green NY LLC
22389,4533-59947-GJ,"Apex Solar Power, LLC"
22390,4643-27684,Tesla Energy Operations Inc.
22391,4147-50782,"SOLARgeneration, Inc."
22392,4376-89852-GJ,"EmPower CES, LLC"
22393,4629-51987-GJ,Harvest Power
22394,4375-23980,New York Light Energy LLC
22395,4354-62790,"Sunrise Solar Solutions, LLC"
22396,4161-21329,Northeast Emergency Power Systems (Michael Parks)
22397,4116-97242,"Solar Liberty Energy Systems, Inc."
22398,4362-38584,"Monolith Solar Associates, LLC"
22399,4643-29922,Tesla Energy Operations Inc.
22400,4116-46082-GJ,"Solar Liberty Energy Systems, Inc."
22401,4148-24164,"SOLARgeneration, Inc."
22402,4548-71466,"Monolith Solar Associates, LLC"
22403,4635-62031,Renewable Rochester (dba for Viola Homes)
22404,4355-79233-GJ,"SuNation Solar Systems, Inc."
22405,4473-75412,Lighthouse Solar (dba for Sun Source Technologies)
22406,4250-20205,"Green Power Solutions, Inc"
22407,4116-82070,"Solar Liberty Energy Systems, Inc."
22408,4629-0302-Financing,Harvest Power
22409,4116-48015,"Solar Liberty Energy Systems, Inc."
22410,4502-59242-GJ,"You Save Green, Inc"
22411,4629-78824-GJ,Harvest Power
22412,4362-65910,"Monolith Solar Associates, LLC"
22413,4175-012,2K Solar Contracting
22414,4124-028,"O'Connell Electric Co., Inc."
22415,4630-37105,Skyline Solar Inc.
22416,4154-47087,Green Logic LLC
22417,4533-82628,"Apex Solar Power, LLC"
22418,4629-70935-GJ,Harvest Power
22419,4548-26265,"Monolith Solar Associates, LLC"
22420,4575-31809,TM Montante Solar Developments LLC
22421,4170-045,Mercury Solar
22422,4355-0100-Financing,"SuNation Solar Systems, Inc."
22423,4355-0134-Financing,"SuNation Solar Systems, Inc."
22424,4116-29437,"Solar Liberty Energy Systems, Inc."
22425,4502-29534,"You Save Green, Inc"
22426,4156-78267,Sea Bright Solar
22427,4362-44577,"Monolith Solar Associates, LLC"
22428,4281-20067,Northern Lights Energy
22429,4244-22571,Sycaway Solar & Wind
22430,4548-70606-GJ,"Monolith Solar Associates, LLC"
22431,4260-76712,"Fourth Coast, Inc"
22432,4354-27444,"Sunrise Solar Solutions, LLC"
22433,4116-42718,"Solar Liberty Energy Systems, Inc."
22434,4154-47150,Green Logic LLC
22435,4362-38115,"Monolith Solar Associates, LLC"
22436,4376-56860-GJ,"EmPower CES, LLC"
22437,4116-26138,"Solar Liberty Energy Systems, Inc."
22438,4493-33677,Direct Energy Solar (formerly Astrum)
22439,4550-43511,Rural Generation & Wind
22440,4354-73486,"Sunrise Solar Solutions, LLC"
22441,4493-43864-GJ,Direct Energy Solar (formerly Astrum)
22442,4354-100636,"Sunrise Solar Solutions, LLC"
22443,4629-79480-GJ,Harvest Power
22444,4355-68485,"SuNation Solar Systems, Inc."
22445,4533-64092,"Apex Solar Power, LLC"
22446,4643-31752,Tesla Energy Operations Inc.
22447,4635-87145,Renewable Rochester (dba for Viola Homes)
22448,4493-54775-GJ,Direct Energy Solar (formerly Astrum)
22449,4493-27449,Direct Energy Solar (formerly Astrum)
22450,4355-72407-GJ,"SuNation Solar Systems, Inc."
22451,4250-38650,"Green Power Solutions, Inc"
22452,4355-58566-GJ,"SuNation Solar Systems, Inc."
22453,4477-28945,East Coast Alternative Energy
22454,4250-95572,"Green Power Solutions, Inc"
22455,4473-101548,Lighthouse Solar (dba for Sun Source Technologies)
22456,4355-0194-Financing,"SuNation Solar Systems, Inc."
22457,4493-49437-GJ,Direct Energy Solar (formerly Astrum)
22458,4627-33680,"O'Connell Electric Co., Inc."
22459,4355-77003-GJ,"SuNation Solar Systems, Inc."
22460,4493-29330,Direct Energy Solar (formerly Astrum)
22461,4335-89958-GJ,Cantiague Electric Corp.
22462,4147-004,"SOLARgeneration, Inc."
22463,4117-38820,1st Light Energy
22464,4354-44342-GJ,"Sunrise Solar Solutions, LLC"
22465,4533-76145,"Apex Solar Power, LLC"
22466,4376-93292,"EmPower CES, LLC"
22467,4202-28200,Best Energy Power
22468,4443-58984,CIR Electrical Construction Corp.
22469,4116-30465,"Solar Liberty Energy Systems, Inc."
22470,4493-36506,Direct Energy Solar (formerly Astrum)
22471,4147-95847,"SOLARgeneration, Inc."
22472,4548-101349,"Monolith Solar Associates, LLC"
22473,4611-55459-GJ,"CNY Solar, Inc."
22474,4156-72428,Sea Bright Solar
22475,4116-68421,"Solar Liberty Energy Systems, Inc."
22476,4355-47722-GJ,"SuNation Solar Systems, Inc."
22477,4643-33343,Tesla Energy Operations Inc.
22478,4154-92169-GJ,Green Logic LLC
22479,4260-26710,"Fourth Coast, Inc"
22480,4643-28000,Tesla Energy Operations Inc.
22481,4643-29333,Tesla Energy Operations Inc.
22482,4609-44438-GJ,"OnForce Solar, Inc."
22483,4116-34781,"Solar Liberty Energy Systems, Inc."
22484,4564-50180,RGS Energy
22485,4627-71476,"O'Connell Electric Co., Inc."
22486,4156-23932,Sea Bright Solar
22487,4643-32284,Tesla Energy Operations Inc.
22488,4488-63366-GJ,"Incline Solar Systems (dba for Mannino Electric, Inc.)"
22489,4376-84798,"EmPower CES, LLC"
22490,4355-64266-GJ,"SuNation Solar Systems, Inc."
22491,4116-39048,"Solar Liberty Energy Systems, Inc."
22492,4116-99863,"Solar Liberty Energy Systems, Inc."
22493,4250-78380,"Green Power Solutions, Inc"
22494,4375-30729,New York Light Energy LLC
22495,4251-20460,"Sundog Solar, Inc."
22496,4154-89660-GJ,Green Logic LLC
22497,4154-89929-GJ,Green Logic LLC
22498,4158-20174,"Alteris RPS, LLC"
22499,4635-51893,Renewable Rochester (dba for Viola Homes)
22500,4548-50378,"Monolith Solar Associates, LLC"
22501,4548-35869,"Monolith Solar Associates, LLC"
22502,4116-24932,"Solar Liberty Energy Systems, Inc."
22503,4611-47918-GJ,"CNY Solar, Inc."
22504,4306-23772,"Solar One, Inc."
22505,4160-95981,"Energy By Choice, Ltd."
22506,4116-45986,"Solar Liberty Energy Systems, Inc."
22507,4116-25681,"Solar Liberty Energy Systems, Inc."
22508,4160-0265-Financing,"Energy By Choice, Ltd."
22509,4242-003,Gould Erectors & Riggers
22510,4119-002,"Crest Solar, LLC"
22511,4217-49299-GJ,"Conscious Energy, Inc."
22512,4116-32061,"Solar Liberty Energy Systems, Inc."
22513,4154-60098-GJ,Green Logic LLC
22514,4373-42098,SunBlue Energy (dba for Florenton River LLC)
22515,4149-67439,"Ecovis, Inc. (formerly Quality Solar)"
22516,4629-82045,Harvest Power
22517,4629-59519-GJ,Harvest Power
22518,4533-76301,"Apex Solar Power, LLC"
22519,4116-31160,"Solar Liberty Energy Systems, Inc."
22520,4154-61529,Green Logic LLC
22521,4548-25144,"Monolith Solar Associates, LLC"
22522,4373-40289-GJ,SunBlue Energy (dba for Florenton River LLC)
22523,4355-53112,"SuNation Solar Systems, Inc."
22524,4202-19610,Best Energy Power
22525,4555-87358,GreenSpark Solar (dba for Sustainable Energy Developments)
22526,4443-41236,CIR Electrical Construction Corp.
22527,4154-91380,Green Logic LLC
22528,4301-41882,"Positive Energy NY, LLC"
22529,4355-62376-GJ,"SuNation Solar Systems, Inc."
22530,4611-97104,"CNY Solar, Inc."
22531,4630-52727,Skyline Solar Inc.
22532,4533-43937-GJ,"Apex Solar Power, LLC"
22533,4629-100319,Harvest Power
22534,4116-43015,"Solar Liberty Energy Systems, Inc."
22535,4590-49440,John Mills Electric
22536,4341-60549,LTHS
22537,4116-116,"Solar Liberty Energy Systems, Inc."
22538,4260-35955,"Fourth Coast, Inc"
22539,4493-46813-GJ,Direct Energy Solar (formerly Astrum)
22540,4629-50255-GJ,Harvest Power
22541,4564-55090,RGS Energy
22542,4533-101123,"Apex Solar Power, LLC"
22543,4633-102663,New York State Solar Farm
22544,4643-32139,Tesla Energy Operations Inc.
22545,4611-25237,"CNY Solar, Inc."
22546,4375-32804,New York Light Energy LLC
22547,4255-22393,"Enlighten Power Solutions, LLC"
22548,4309-79074,Solar Energy NY Corp.
22549,4643-31358,Tesla Energy Operations Inc.
22550,4224-19598,"Inverters Unlimited, Inc."
22551,4355-67945-GJ,"SuNation Solar Systems, Inc."
22552,4493-51740,Direct Energy Solar (formerly Astrum)
22553,4116-33934,"Solar Liberty Energy Systems, Inc."
22554,4502-0198-H-RC Finan,"You Save Green, Inc"
22555,4149-41991,"Ecovis, Inc. (formerly Quality Solar)"
22556,4160-53634,"Energy By Choice, Ltd."
22557,4439-31686,"Alternative Power Solutions of NY, LLC"
22558,4362-46334,"Monolith Solar Associates, LLC"
22559,4493-24737,Direct Energy Solar (formerly Astrum)
22560,4609-19856,"OnForce Solar, Inc."
22561,4627-42772,"O'Connell Electric Co., Inc."
22562,4354-36992,"Sunrise Solar Solutions, LLC"
22563,4116-23723,"Solar Liberty Energy Systems, Inc."
22564,4235-52160,Quinn's Green Power
22565,4120-20014,"Island Solar Energy, LLC"
22566,4533-72302,"Apex Solar Power, LLC"
22567,4590-69120,John Mills Electric
22568,4147-65592,"SOLARgeneration, Inc."
22569,4376-63332-GJ,"EmPower CES, LLC"
22570,4533-41542,"Apex Solar Power, LLC"
22571,4473-57317-GJ,Lighthouse Solar (dba for Sun Source Technologies)
22572,4533-55379-GJ,"Apex Solar Power, LLC"
22573,4362-35971,"Monolith Solar Associates, LLC"
22574,4301-34992,"Positive Energy NY, LLC"
22575,4629-49447-GJ,Harvest Power
22576,4548-102437,"Monolith Solar Associates, LLC"
22577,4533-86243,"Apex Solar Power, LLC"
22578,4362-67122,"Monolith Solar Associates, LLC"
22579,4604-61189,"Allura Solar (dba for Epergy, LLC)"
22580,4493-39393,Direct Energy Solar (formerly Astrum)
22581,4633-44440,New York State Solar Farm
22582,4156-44965,Sea Bright Solar
22583,4154-54051,Green Logic LLC
22584,4575-26881,TM Montante Solar Developments LLC
22585,4362-40287,"Monolith Solar Associates, LLC"
22586,4281-53858,Northern Lights Energy
22587,4354-70021-GJ,"Sunrise Solar Solutions, LLC"
22588,4548-97251,"Monolith Solar Associates, LLC"
22589,4355-60799-GJ,"SuNation Solar Systems, Inc."
22590,4154-54045,Green Logic LLC
22591,4643-30810,Tesla Energy Operations Inc.
22592,4590-46796,John Mills Electric
22593,4354-93879,"Sunrise Solar Solutions, LLC"
22594,4135-21209,"Sundog Solar, Inc."
22595,4124-20748,"O'Connell Electric Co., Inc."
22596,4202-37595,Best Energy Power
22597,4630-100555,Skyline Solar Inc.
22598,4247-52438,"Alternative Power Solutions of NY, LLC"
22599,4643-26782,Tesla Energy Operations Inc.
22600,4116-33712,"Solar Liberty Energy Systems, Inc."
22601,4376-98830-GJ,"EmPower CES, LLC"
22602,4376-0111-Financing,"EmPower CES, LLC"
22603,4362-36465,"Monolith Solar Associates, LLC"
22604,4116-159,"Solar Liberty Energy Systems, Inc."
22605,4362-65929,"Monolith Solar Associates, LLC"
22606,4355-89412-GJ,"SuNation Solar Systems, Inc."
22607,4116-42041,"Solar Liberty Energy Systems, Inc."
22608,4376-82340,"EmPower CES, LLC"
22609,4183-67852,"Ross Solar Group, LLC"
22610,4209-20069,Finlo
22611,4147-23315,"SOLARgeneration, Inc."
22612,4309-30539,Solar Energy NY Corp.
22613,4116-20042,"Solar Liberty Energy Systems, Inc."
22614,4404-23844,Green Logic LLC
22615,4116-78222,"Solar Liberty Energy Systems, Inc."
22616,4116-37552,"Solar Liberty Energy Systems, Inc."
22617,4332-21057,"Sound Solar Systems, LLC"
22618,4251-41511,"Sundog Solar, Inc."
22619,4355-0268-Financing,"SuNation Solar Systems, Inc."
22620,4497-30174,"Blue Sky Construction Management, Inc."
22621,4354-68390-GJ,"Sunrise Solar Solutions, LLC"
22622,4493-27792,Direct Energy Solar (formerly Astrum)
22623,4154-68251-GJ,Green Logic LLC
22624,4590-94698,John Mills Electric
22625,4247-64681,"Alternative Power Solutions of NY, LLC"
22626,4629-58481,Harvest Power
22627,4369-26531,Halco Renewable Energy (dba for Halcyon)
22628,4635-30006,Renewable Rochester (dba for Viola Homes)
22629,4116-34438,"Solar Liberty Energy Systems, Inc."
22630,4585-55133,"Solar Alchemy, Inc."
22631,4156-35754,Sea Bright Solar
22632,4564-48271,RGS Energy
22633,4116-103,"Solar Liberty Energy Systems, Inc."
22634,4376-79201-GJ,"EmPower CES, LLC"
22635,4161-22304,Northeast Emergency Power Systems (Michael Parks)
22636,4611-75466,"CNY Solar, Inc."
22637,4464-101800,"Empire Solar Store (dba Wiltshire Renewable Energy Systems, LLC)"
22638,4139-014,RGS Energy
22639,4555-76478,GreenSpark Solar (dba for Sustainable Energy Developments)
22640,4627-77354,"O'Connell Electric Co., Inc."
22641,4247-20012,"Alternative Power Solutions of NY, LLC"
22642,4244-003,Sycaway Solar & Wind
22643,4376-61590-GJ,"EmPower CES, LLC"
22644,4362-33945,"Monolith Solar Associates, LLC"
22645,4116-29551,"Solar Liberty Energy Systems, Inc."
22646,4585-64573,"Solar Alchemy, Inc."
22647,4422-45151,Staten Island Renewable Energy Corp.
22648,4355-91009-GJ,"SuNation Solar Systems, Inc."
22649,4555-63640,GreenSpark Solar (dba for Sustainable Energy Developments)
22650,4116-44815,"Solar Liberty Energy Systems, Inc."
22651,4433-50165-GJ,"Majestic Son & Sons, Inc."
22652,4247-81839,"Alternative Power Solutions of NY, LLC"
22653,4170-018,Mercury Solar
